filename, language, YAML, Dockerfile, Markdown, Python, Properties, XML, Shell Script, Makefile, reStructuredText, CUDA C++, C++, comment, blank, total
g:\mywork\pytorch\detectron2\.clang-format, YAML, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 86
g:\mywork\pytorch\detectron2\.github\CODE_OF_CONDUCT.md, Markdown, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
g:\mywork\pytorch\detectron2\.github\CONTRIBUTING.md, Markdown, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
g:\mywork\pytorch\detectron2\.github\Detectron2-Logo-Horz.svg, XML, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
g:\mywork\pytorch\detectron2\.github\ISSUE_TEMPLATE\feature-request.md, Markdown, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 17
g:\mywork\pytorch\detectron2\.github\ISSUE_TEMPLATE\questions-help-support.md, Markdown, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
g:\mywork\pytorch\detectron2\.github\ISSUE_TEMPLATE\unexpected-problems-bugs.md, Markdown, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 39
g:\mywork\pytorch\detectron2\.github\pull_request_template.md, Markdown, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
g:\mywork\pytorch\detectron2\Dockerfile, Dockerfile, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 43
g:\mywork\pytorch\detectron2\GETTING_STARTED.md, Markdown, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 79
g:\mywork\pytorch\detectron2\INSTALL.md, Markdown, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 70
g:\mywork\pytorch\detectron2\MODEL_ZOO.md, Markdown, 0, 0, 694, 0, 0, 0, 0, 0, 0, 0, 0, 123, 61, 878
g:\mywork\pytorch\detectron2\README.md, Markdown, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 57
g:\mywork\pytorch\detectron2\configs\Base-RCNN-C4-cwr.yaml, YAML, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
g:\mywork\pytorch\detectron2\configs\Base-RCNN-C4.yaml, YAML, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
g:\mywork\pytorch\detectron2\configs\Base-RCNN-DilatedC5.yaml, YAML, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
g:\mywork\pytorch\detectron2\configs\Base-RCNN-FPN.yaml, YAML, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 42
g:\mywork\pytorch\detectron2\configs\Base-RetinaNet.yaml, YAML, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
g:\mywork\pytorch\detectron2\configs\COCO-Detection\fast_rcnn_R_50_FPN_1x.yaml, YAML, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
g:\mywork\pytorch\detectron2\configs\COCO-Detection\faster_rcnn_R_101_C4_3x.yaml, YAML, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
g:\mywork\pytorch\detectron2\configs\COCO-Detection\faster_rcnn_R_101_DC5_3x.yaml, YAML, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
g:\mywork\pytorch\detectron2\configs\COCO-Detection\faster_rcnn_R_101_FPN_3x.yaml, YAML, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
g:\mywork\pytorch\detectron2\configs\COCO-Detection\faster_rcnn_R_50_C4_1x.yaml, YAML, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
g:\mywork\pytorch\detectron2\configs\COCO-Detection\faster_rcnn_R_50_C4_3x.yaml, YAML, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
g:\mywork\pytorch\detectron2\configs\COCO-Detection\faster_rcnn_R_50_DC5_1x.yaml, YAML, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
g:\mywork\pytorch\detectron2\configs\COCO-Detection\faster_rcnn_R_50_DC5_3x.yaml, YAML, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
g:\mywork\pytorch\detectron2\configs\COCO-Detection\faster_rcnn_R_50_FPN_1x.yaml, YAML, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
g:\mywork\pytorch\detectron2\configs\COCO-Detection\faster_rcnn_R_50_FPN_3x.yaml, YAML, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
g:\mywork\pytorch\detectron2\configs\COCO-Detection\faster_rcnn_X_101_32x8d_FPN_3x.yaml, YAML, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
g:\mywork\pytorch\detectron2\configs\COCO-Detection\retinanet_R_101_FPN_3x.yaml, YAML, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
g:\mywork\pytorch\detectron2\configs\COCO-Detection\retinanet_R_50_FPN_1x.yaml, YAML, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
g:\mywork\pytorch\detectron2\configs\COCO-Detection\retinanet_R_50_FPN_3x.yaml, YAML, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
g:\mywork\pytorch\detectron2\configs\COCO-Detection\rpn_R_50_C4_1x.yaml, YAML, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
g:\mywork\pytorch\detectron2\configs\COCO-Detection\rpn_R_50_FPN_1x.yaml, YAML, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
g:\mywork\pytorch\detectron2\configs\COCO-InstanceSegmentation\mask_rcnn_R_101_C4_3x.yaml, YAML, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
g:\mywork\pytorch\detectron2\configs\COCO-InstanceSegmentation\mask_rcnn_R_101_DC5_3x.yaml, YAML, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
g:\mywork\pytorch\detectron2\configs\COCO-InstanceSegmentation\mask_rcnn_R_101_FPN_3x.yaml, YAML, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
